Time,Tweet,Sentiment
2025-07-14 07:26:59+00:00,"@ugc_india @PMOIndia @EduMinOfIndia @PIB_India Subject: Suggestion for attendance relaxation in final semester of Master’s degree (Regular Mode) for students in contractual employment
Respected Sir/Madam,
In reference to the Draft Guidelines for Multiple Entry and Multiple Exit (ME-ME) in Higher Education Institutions",Positive
2025-07-14 07:26:58+00:00,"Employment Linked Incentive (ELI) Scheme: A True Step Towards Viksit Bharat!
EPFO, RO Jammu organised seminar in Radisson Blu Hotel for the awareness of the ELI Scheme. @LabourMinistry @socialepfo @Sumeetsbrar @PIBSrinagar @PIB_India https://t.co/hzNDzsBPJb",Positive
2025-07-14 07:26:58+00:00,"@IndianTechGuide India leads when accessibility meets AI. Forgot Chatgpt, Puch AI will dominate India soon",Neutral
2025-07-14 07:26:58+00:00,"@TheOfficialSBI Here's a professional and polite email template you can use to request a refund of ₹599 from the State Bank of India (SBI)
Subject: Request for Refund of ₹599 – Urgent Attention Request @TheOfficialSBI",Negative
2025-07-14 07:26:57+00:00,"wind breaker webtooan james gunn superman movie box office air india flight cwrash report donkey kong bananza leak archita phukan viral viral video link
https://t.co/UPqXYTZizK",Neutral
2025-07-14 07:26:55+00:00,@joybhattacharj This area was called Jhil mil park earlier before being taken over by Nicco park. First in eastern india Nicco park was a rage in 1990s.,Positive
2025-07-14 07:26:53+00:00,BKL Rahul is the culprit if India looses. Mf dropped Jamie smith on 5 who went on to score 50 . Then ran out Pant and threw his wicket as well . Easily 70-80 runs lead wasted. If he doesn’t win us this match mdc should not be anywhere close to this team again.,Positive
2025-07-14 07:26:53+00:00,"Save time. Download Inshorts, India's highest rated news app, to read news in 60 words.
https://t.co/IoytCRm6aV https://t.co/NRx3yyi7aS",Neutral
2025-07-14 07:26:53+00:00,@IDC_DartsIndia Best wishes to Team India!,Positive
2025-07-14 07:26:53+00:00,@HSingh1708 @IranObserver0 Even India people are dying of hunger. There is shit everywhere and very polluted,Neutral
2025-07-14 07:26:52+00:00,"@narendramodi 
@SEBI_India 

Now the stock market will move somewhere and the outsiders will loot India and go away Our dear Modi sahab has no time to take the award 700 points up on the victims of the plane crash but the market will move only if you want profit 😂",Neutral
2025-07-14 07:26:52+00:00,"India shd not, in our lifetimes, ever try to normalise relations w/Pak. Its a rogue state, it can only be managed by being conaistently hostile to it, undermine its state, bankrupt its economy. Ensure Pak suffers as much is necessary for it to be distracted frm India.. https://t.co/Y2wpDHh32i",Negative
2025-07-14 07:26:51+00:00,@NathDebal @jayain_raju In india buffalo production is more than cow.. it's sold as beef.. cows are mainly for dairy needs.. breeds of cows which are available in india is solely for milk production those breeds(barring desi) are not good for meat,Positive
2025-07-14 07:26:51+00:00,@mukesh1275 This is not a new invention.its was extensively used in agriculture in India when Diesel pumps were not so ubiquitous.i myself did.,Negative
2025-07-14 07:26:50+00:00,"wind breaker webtoon james gunn superman movie box office air india flight cwrash report donkey kong bananza leak archita phukan viral viral video link
https://t.co/UPqXYTZizK",Neutral
2025-07-14 07:26:50+00:00,"As apart of 100days program Conducted D2D  Awareness Program on Source Level Segregation  in ward No 5,9,12,14 @MoHUA_India
@RoopaMishra77
@tksreedevi
@cdmatelangana
@SwachhBharatGov
@SBMU_Telangana
@tgmepma
#TelanganaRising
#TG100DaysActionPlan
#OkaMarpu_AbhivrudhikiMalupu* https://t.co/m9A4wQ6HpM",Neutral
2025-07-14 07:26:48+00:00,"A shame .....

Country whose 40% wealth is with few Billionaires can't help this, Nurse. 

THOO HAI TUMHARI KAMAI PE. #KeralaNurse 

https://t.co/GgnjP8n4yd",Negative
2025-07-14 07:26:47+00:00,"wind breaker awebtoon james gunn superman movie box office air india flight crash report donkey kong bananza leak archita phukan viral viral video link
https://t.co/UPqXYTZizK",Neutral
2025-07-14 07:26:47+00:00,@happydeppressed @BDS_in_India Protesting against companies literally out of vibes 😭😭😭😭,Neutral
2025-07-14 07:26:46+00:00,"🚀 #Kochi just got a glow-up! South India’s BIGGEST #IT twin towers are here—and they’re MASSIVE. 

#Tech, talent &amp; towers… #Kerala’s skyline will never be the same! 🏢✨

#convergencenow #futurecities #cities #smartcities #TechTowers #FutureReady
https://t.co/5R4tavY2Ly",Neutral
2025-07-14 07:26:45+00:00,"🚨 11th Edition of Nonwoven Tech Asia is here!
Join 27000+ stakeholders from around the globe at India’s premier nonwoven exhibition!
📍 06-08 Nov 2025 | Yashobhoomi, New Delhi

🔗 𝐋𝐞𝐚𝐫𝐧 𝐦𝐨𝐫𝐞: https://t.co/pSivxhUUYo

#NonwovenTechAsia #TechnicalTextiles #SmartFabrics https://t.co/VRvCbJ9e3h",Positive
2025-07-14 07:26:45+00:00,@Ofer_binshtok The fate was India was divided into Pakistan and Bangladesh because they can't assimilate and the same fat awaits,Neutral
2025-07-14 07:26:44+00:00,@prtk93 @Amolk1985 @parshu1098 There is only one India but Hindians are different.,Neutral
2025-07-14 07:26:44+00:00,Does anyone from India see my posts ?? https://t.co/lLq7LfeqBF,Neutral
2025-07-14 07:26:44+00:00,"@antmillionsbot uwwpouBNiNEkX5fKhK3LtUP61YsSkYNnnjJimTrq2Y4

Its a sol wallet please send me 1
Btc its be a life saving its a lot of money in India please",Neutral
2025-07-14 07:26:44+00:00,"@MichaelVaughan No, India has a good chance",Positive
2025-07-14 07:26:43+00:00,"@mufaddal_vohra IF INDIA LOSE , VIRAT AND ROHIT WILL PLAY ODI WORLD CUP 2027

IF INDIA WIN , VIRAT AND ROHIT RETIRED FROM ODI FORMAT 
CHOOSE WISELY ✅ OR ❌",Positive
2025-07-14 07:26:42+00:00,"India's Forex Reserves Fall by $3.049 Billion, Marking a Sharp Decline.
Like | Share | Follow | Comment For Daily Updates.
https://t.co/YJjldO3Pnt
#ForexReserves #RBI #IndianEconomy #USDollar #ForeignExchange #EconomicNews #Finance #Macroeconomics #CurrencyMarkets https://t.co/Vvmwz9k9tg",Negative
2025-07-14 07:26:42+00:00,"Feedback of India Post ELP participant, a MyBharat Ambassador and a Dedicated NSS Volunteer Ms. K. Sharada Veerabhadhrappa from GFGC for Women, Raichur trainee at Purtipli BO District, Raichur. @YASMinistry @_NSSIndia @mansukhmandviya @khadseraksha @mybharatgov #MyBharat https://t.co/zFUgvjoa4P",Neutral
2025-07-14 07:26:42+00:00,@SaveMenToo_ We need more potholes of coma in india to get rid of papa ki pari,Positive
2025-07-14 07:26:40+00:00,"VOLLEYBALL (U16 Boy's)
India knocks out China to go through the 1-8 classification round.

       India🇮🇳 3-0 🇨🇳China

IND [25-18, 26-24, 25-15] CHN

(Note : Top 4 will qualify for U17 World Championship 2026)",Positive
2025-07-14 07:26:39+00:00,"Air India issues detailed statement on AAIB prelim report, ‘There was no issue…’ https://t.co/iIaLHodhbl",Positive
2025-07-14 07:26:39+00:00,"Scam history taints regions like India. @NigeNest creates inclusive work with verifiable identities, ensuring skilled pros get jobs. Join the blockchain revolution! Gnige💙 https://t.co/F1CQV7r8DQ",Positive
2025-07-14 07:26:39+00:00,"@Nevamore454332 @KentNgu89153991 @MayorMisogyny @bankolewya dead. Yellow Turban Rebellion. 184–205. China
5,000,000+ dead. Mughal Maratha Wars. 1658–1707. India and Bangladesh
4,900,000–5,000,000 dead. Miao Rebellion. 1854-1873. China.killed. 1915-1922, Ottoman Empire /West Asia
Armenian Genocide, 1,500,000 people killed.
Greek Genocide,",Negative
2025-07-14 07:26:37+00:00,"India’s journey isn’t limited to Earth anymore, it’s reaching for the stars! 🇮🇳🚀

Capt Shubhanshu Shukla from ISS: “From space, I see an India that is fearless, ambitious, and proud.”

#IndiaInSpace #Axiom4 https://t.co/EDyG00JXVH",Positive
2025-07-14 07:26:36+00:00,"@Hollow406929668 @Row_of_E @IncelsCo @hurrretard All of your posts are coping about India.
Although I suppose an Indian would be an expert on subhumans.",Neutral
2025-07-14 07:26:36+00:00,"@cturnbull1968 She probably does think that those China EV countries are paying the 100% (imposed quite a while back together with EU) + the 45% imposed this year and still thanked America for the business.

Meanwhile China EVs exporting to to India at 20% discount still makes more sense than",Positive
2025-07-14 07:26:36+00:00,"@Eagle4india @Acer_India @AcerTVIndia Mail IDs pan chhe ne... Escalate karo...

(CC) rishika.b@indkal.com and avinash.s@indkal.com",Neutral
2025-07-14 07:26:35+00:00,"@jaykumarjani1 @CBIC_india Dear @jaykumarjani1, kindly share your ARN (Application Reference Number) to help us look into the matter.",Positive
2025-07-14 07:26:35+00:00,"The fact that Indian pilots cant fly planes and they keep falling and crashing, bursting into flames. Why is this not discussed enough
How mant more people both in IAF and commercial planes will have to D!e for their egotistic A*sses to believe this

#IAF #India #Indian #Rafale",Positive
2025-07-14 07:26:35+00:00,"What ITCONS figured out:
🎯 India’s workforce is exploding
🎯 Companies need talent
🎯 Staffing is the bridge
#ITCONS #IndiaHiring",Neutral
2025-07-14 07:26:34+00:00,@MichaelVaughan Pant sundar jaddu left handers will seal it for India &amp; get a lead in the series 2-1,Neutral
2025-07-14 07:26:34+00:00,@Polytikles They are fed on WhatsApp and whataboutery - and visits to India are from Airport to home in AC cars and gated communities - what else can they say,Neutral
2025-07-14 07:26:33+00:00,@mohitlaws India not for beginners 😂,Neutral
2025-07-14 07:26:32+00:00,Pant-Rahul partnership is crucial for India. A 50-60 run partnership will ease the chase. A wicket early and it will get difficult to chase. #INDvsENG https://t.co/NjrGbCoBi7,Negative
2025-07-14 07:26:32+00:00,"@FrontalForce It was a decoy of Air India. 
Chill",Neutral
2025-07-14 07:26:31+00:00,@CricCrazyJohns @probo_india Incorrect Johns - the umpire have 6 runs and should have been 5! You can refer to articles by Dharmasena for the same..,Neutral
2025-07-14 07:26:31+00:00,@IntrovertSEOGuy @Jonnypeg89 @MagnusOpus33 Women’s rights aren’t exactly high on the agenda in India either to be honest.,Positive
2025-07-14 07:26:30+00:00,"Air India CEO Campbell Wilson said that the initial investigation into last month's deadly crash of a Boeing Dreamliner found no mechanical or maintenance issues with the aircraft or its engines, citing the preliminary report released by the Aircraft Accident Investigation Bureau https://t.co/mAhWguRMuE",Negative
2025-07-14 07:26:29+00:00,"@epicure_peechu @ZakCrawleyFan He should be fined regardless of the power of India, also Test points taken away...Gill also showing appalling leadership and example...and also regardless of the result today...we don't need these characters on the field..",Negative
2025-07-14 07:26:28+00:00,@MichaelVaughan India will win comfortably,Positive
2025-07-14 07:26:28+00:00,"@RT_India_news You are trying to instigate hate between US and India. He didn't specifically said India is despicable, rather he actually said that the act of India buying oil from Russia is despicable. There is a clear difference between the two.",Negative
2025-07-14 07:26:28+00:00,"My dad literally teaching me how to bribe income tax officers, LMAO 💀, i don't know how i am gonna lower IRS taxes, but i am gonna surely show loss in india, https://t.co/53QowruF42",Positive
2025-07-14 07:26:28+00:00,"@Uber_India , could you please complete this ride, as the drop off is made as per the riders request. https://t.co/fIz8ewtOMO",Positive
2025-07-14 07:26:27+00:00,"Sources referred:

https://t.co/TlfG8qvBoe

https://t.co/zKT4PtetZm

https://t.co/chTuBENSZN

https://t.co/CcmifN1O07

https://t.co/iMJbwPLq8o

https://t.co/r8vgCTvFAQ

https://t.co/DZfEy7sygb

https://t.co/Clr7BqtMXa

https://t.co/W66LU2b7hj

https://t.co/LGr4URHOy0",Neutral
2025-07-14 07:26:27+00:00,"It has been more than 17 months since the SSC CPO notification was released and the medical has not been done yet. Thousands of students are waiting. Please pay attention to this matter. #SSCCPO2024_RESULT
@BSF_India @PIBHomeAffairs @DoPTGoI @DrJitendraSingh https://t.co/z5wQIuewCG",Positive
2025-07-14 07:26:27+00:00,"@ZadaShaz @Dani53502449487 Solo Leveling breaks Crunchyroll records—Becomes most rated anime in history | - Times of India https://t.co/unLPkMneh8
The only thing ds has over sl is manga sales , because sl doesn't have manga and aside of that there's no viewership site that ds has over sl, Netflix &amp;crunchy",Positive
2025-07-14 07:26:26+00:00,If fssai does their work properly half of india will become healthy https://t.co/BINWOf2jMo,Positive
2025-07-14 07:26:26+00:00,"@243Andrew @tolethorpe @jonie1303 CPTPP, India and USA.

USA tariffs 20% less than the EU; Brexit benefit.

The only thing that's a joke; is you.",Negative
2025-07-14 07:26:26+00:00,"""They Should Invite Us, Right?"" Peeved Siddaramaiah On BJP's Bridge 'Snub' https://t.co/l838vuUBXe https://t.co/RHqnnWAQl5",Positive
2025-07-14 07:26:25+00:00,"Key Indian &amp; Global Players with their service offerings:

# Kirby Building Systems &amp; Structures India Pvt Ltd
# Interarch Building Product Ltd
# Zamil Steel Buildings
# Pennar Industries Ltd
# Everest Industries Ltd
# M&amp; B Group

(8/n) https://t.co/gzSZVIKcz4",Neutral
2025-07-14 07:26:23+00:00,"India’s pre-engineered buildings market was US$ 2.01 Bn in 2024 and is projected to reach US$ 6.33 Bn by 2033 (CAGR: 12.5%)

Globally, the market stood at US$ 17.1 Bn in 2024 and is expected to grow to US$ 32.8 Bn by 2033 (CAGR: 8.48%)

(6/n) https://t.co/3ntR3dZSaB",Negative
2025-07-14 07:26:23+00:00,"@ChinaSpox_India You said  ""Tibetan people continued to freely maintain their traditional culture, such as traditional attire, food culture, and architectural styles, etc..“
Still they can not call their mother land Tibet ?",Positive
2025-07-14 07:26:23+00:00,"Hiring, staffing, skilling—India needs these more than ever.
And ITCONS is quietly becoming a leader in this transformation.
#ITCONS",Positive
2025-07-14 07:26:22+00:00,"iQOO Z10R India Launch Teased, Geekbench Listing Reveals Dimensity 7400 SoC
https://t.co/z2eoAtvwTt",Neutral
2025-07-14 07:26:22+00:00,@IndianGems_ India has the worst set of engineers and architects out of the global pool,Negative
2025-07-14 07:26:19+00:00,"Two cadets from Army Public School Delhi Cantt, Anustha (9C) &amp; Annie (9J), participated in the NCC All India Trekking Expedition 2025–26 held in Dharamshala (June 17–26). A journey of adventure, learning &amp; leadership!
#NCC #APSDC #TrekkingExpedition #StudentLeaders https://t.co/dT0KSrESny",Neutral
2025-07-14 07:26:19+00:00,"NEWS | #Kerala High Court granted a 15-day parole to life convict to marry committed partner, acting on plea by his mother.

Read: https://t.co/xGIbMmm6U9 https://t.co/p8Djgftq1S",Positive
2025-07-14 07:26:17+00:00,"@realDonaldTrump At times your anti India activities like funding Pakistan angers us a lot, nevertheless you are the only president or American leader who dares to speak against real problems the world is facing due to money mongering evil people like Soros, Gates etc. You deserve Nobel for sure.",Negative
2025-07-14 07:26:17+00:00,"Atmanirbharta Begins In The Desert: Why Bikaner Is India’s Next Big Thing

https://t.co/KCXgzrLuE3",Neutral
2025-07-14 07:26:17+00:00,"@RadioGenoa In India that community is mostly in Puncture fixing business, who knows there also they will be doing same thing?",Positive
2025-07-14 07:26:16+00:00,@CivicOp_india Needs a rebuild in war footing,Neutral
2025-07-14 07:26:15+00:00,"Asian garment hubs face job risks amid new US tariffs.

#garmentindustry #USTariffs #Bangladesh #Cambodia #Vietnam #India #Indonesia #tradepolicy #labourrights #factoryworkers #asianeconomy #exportcrisis #apparelexport

https://t.co/J9rdMPsYoU",Positive
2025-07-14 07:26:15+00:00,"@PRSundar64 There is shortage of temples in India @mygovindia @myogioffice @TVMohandasPai 

We need to give budget of 500 Cr per annum to build new temples, which should be fit for 1000 years",Positive
2025-07-14 07:26:15+00:00,"Justin Bieber #sinneralcaraz #RHOA Brewers #MrunalThakur #Suriya47 #Coolie #TVKVijay #TheyCallHimOG #Coolie #AA22xA6 #Dhadak2 #INDvsENG,,https://t.co/4kII5WBh0g,ON AMAZON INDIA",Neutral
2025-07-14 07:26:14+00:00,"Eye Drops PCD Pharma Companies in India
https://t.co/Xd6HWBv6t2",Neutral
2025-07-14 07:26:14+00:00,@TelegraphPak Marka-e-Haq exposed what India desperately tries to cover up  a crumbling internal structure,Negative
2025-07-14 07:26:13+00:00,🤣 #SupremeCourtofIndia wants #india to intervene but what about countless #hindus getting killed and rap#d. These PoS judges including #CJI indulges in politics and feet dragging exercise. That lady murdered someone let her enjoy fruits of her karma https://t.co/gyVYDHXi6X,Positive
2025-07-14 07:26:13+00:00,"Pahalgam attack was deadliest or Jaffar Express and Sar Dakoi incidents of Baluchistan were..?

India officially declared by Canada a state sponsoring terrorism,,, so first India needs to correct itself by stopping false flag operations in it's territory &amp; blame Pakistan... https://t.co/OjhPmKDfW3",Negative
2025-07-14 07:26:13+00:00,"India needs protectors, not paperwork prisoners. #SSCCPO2024_Result",Neutral
2025-07-14 07:26:13+00:00,"Balcony to Backyard: Explore the Best Outdoor Furniture Brands In India
https://t.co/8C2e4Ej1Vs
For more information, you can visit our website: https://t.co/TscE1tcqSV
Contact:                             
📞 +91-9810265873                  
📷A10, Block A, Phase-2, Noida https://t.co/6RdOythGE5",Positive
2025-07-14 07:26:13+00:00,Justice for Vedaranyam Temple Lands – ₹4200 Rent for 2425 Acres Isn’t Right - Sign the Petition! https://t.co/uOMQ0q6rng via @ChangeOrg_India,Positive
2025-07-14 07:26:12+00:00,@zeusthor77 @frankrxII @kunal105 @bruce_barrett people take drugs only in northeast and less part of punajab..other part of india is drug free.. now care about usa and europe where lacks of people die per year due to fentanyl,Positive
2025-07-14 07:26:12+00:00,"Justin Bieber #sinneralcaraz #RHOA Brewers #MrunalThakur #Suriya47 #Coolie #TVKVijay #TheyCallHimOG #Coolie #AA22xA6 #Dhadak2 JIKOOK,,https://t.co/nupOxkLZMg,Available on Amazon  India",Neutral
2025-07-14 07:26:12+00:00,@PMOIndia @nsitharaman @IncomeTaxIndia @cbic_india @FinMinIndia @Infosys_GSTN @GST_Council @gstindia @GSTsite @gsthelpline @nsitharamanoffc @officeofPCM @FinMinIndia @PIB_India @CNBC @aajtak this is income tax server sawan mai bholenath ji ka damroo bana hua hai. https://t.co/wd7HBY8NJW,Neutral
2025-07-14 07:26:12+00:00,"Justin Bieber #sinneralcaraz #RHOA Brewers #MrunalThakur #Suriya47 #Coolie #TVKVijay #TheyCallHimOG #Coolie #AA22xA6 #Dhadak2 JIKOOK,,https://t.co/R2NYV9Ojr1,Available on Amazon  India",Neutral
2025-07-14 07:26:12+00:00,"@archer_ar93001 @GasheBraer @destroyourargue @Rouwmut @CommiekillerI @BowNkambule @bbklive_ Not to mention the fact that India literally keeps millions of you apes alive.

Not expecting you to understand the gravity of this, because you're from a subhuman race that failed to discover the wheel. https://t.co/u3Gjrfytdd",Negative
2025-07-14 07:26:12+00:00,"Justin Bieber #sinneralcaraz #RHOA Brewers #MrunalThakur #Suriya47 #Coolie #TVKVijay #TheyCallHimOG #Coolie #AA22xA6 #Dhadak2 #INDvsENG,https://t.co/NnuBj6YOFB,AVAILABLE ON AMAZON INDIA",Neutral
2025-07-14 07:26:12+00:00,"Justin Bieber #sinneralcaraz #RHOA Brewers #MrunalThakur #Suriya47 #Coolie #TVKVijay #TheyCallHimOG #Coolie #AA22xA6 #Dhadak2 #INDvsENG,https://t.co/SijTPR8cst,AVAILABLE ON AMAZON INDIA",Neutral
2025-07-14 07:26:12+00:00,"Justin Bieber #sinneralcaraz #RHOA Brewers #MrunalThakur #Suriya47 #Coolie #TVKVijay #TheyCallHimOG #Coolie #AA22xA6 #Dhadak2 JIKOOK,,https://t.co/rVPyUfLWuI,Available on Amazon  India",Neutral
