Time,Hour,Minute,Second,Day,Weekday,Month,Year,Tweet,Sentiment
2025-07-28 23:52:41+00:00,23,52,41,28,0,7,2025,"@KyleBumpus @USA_Polling My favorite restaurant was just an example. It could be the flights I take, the hotel rooms I book, the cars I buy, anything.
Only bad things can come from more people wanting to buy the same things I want to buy. I've seen it happen with influencers, etc. Ain't making this up.",Positive
2025-07-28 23:52:41+00:00,23,52,41,28,0,7,2025,"@Nelson251011 @JDunlap1974 Vets first I agree, but we should not feed or house or medical aid foreign countries until we have no hungry or homeless or uninsured people in the USA. We can't be helping others when we need to help ourselves, also we need to be out of debt, we are borrowing to give...",Positive
2025-07-28 23:52:39+00:00,23,52,39,28,0,7,2025,"If the USA start banning porn, you’ll know where to find me. I’ve made a Bluesky and I’ll be more active there. https://t.co/vpm11i6aaj",Positive
2025-07-28 23:52:37+00:00,23,52,37,28,0,7,2025,@AHaschi Of course he looks better. Its because he’s not trying to perform the duties of the President of the USA. Which he didnt do well. He’s probably sleeping 12 hours a day and enjoying a kings  retirement funded by all his personal and his families influence peddling. Its why he gave,Positive
2025-07-28 23:52:37+00:00,23,52,37,28,0,7,2025,@RepMTG ban bad men from visiting usa including sex offense including brits,Negative
2025-07-28 23:52:37+00:00,23,52,37,28,0,7,2025,"@SeibtNaomi @Deu_Kurier Aside, secretly, Naomi, I can't figure out exactly what the crazy Democrat policies in the USA and the equally bizarre EU and UK policies are supposed to achieve, other than a complete breakdown of society. Who wins? Bankers? I don't even see the elites coming out on top.",Positive
2025-07-28 23:52:35+00:00,23,52,35,28,0,7,2025,"@slavboij @Betar_USA No, not everyone hates Jews. I don't hate Jews. I am intensely disgusted by zionists and zionism, though. They're committing genocide and ethnic cleansing, all the while running around crying about how they're being attacked by Hamas and are only defending themselves. What BS... https://t.co/mquqiNBh8W",Negative
2025-07-28 23:52:35+00:00,23,52,35,28,0,7,2025,The only way to save france is to be on the muslim caliphate side believing in god with them which would make both countries follow god directly with no terror being possible for more than this reason. This means you have to all in side with russia/muslims/china/nk over usa.,Positive
2025-07-28 23:52:33+00:00,23,52,33,28,0,7,2025,@Osint613 Carrying a weapon in broad daylight light can happen in USA only.,Positive
2025-07-28 23:52:33+00:00,23,52,33,28,0,7,2025,@PatriotDad_USA Congratulations! Well earned.,Neutral
2025-07-28 23:52:31+00:00,23,52,31,28,0,7,2025,@_wake_up_USA DemocRAT 🐀,Neutral
2025-07-28 23:52:30+00:00,23,52,30,28,0,7,2025,@tattooed_USA Whelp. This is a reminder to never judge a book by its cover.,Neutral
2025-07-28 23:52:28+00:00,23,52,28,28,0,7,2025,"🚨 Publish on https://t.co/EK1HA1EUFc
High-authority news site with 60K+ organic visitors/month!
🔹 Niche: News
🔹 DA: 40/DR: 40
🔹 Traffic: 60K+ USA Organic (Ahrefs)
✅ Premium Guest Post with DoFollow Link
📩 DM now to grab this high-value backlink!

#GuestPost #SEOLink #HighDA",Neutral
2025-07-28 23:52:28+00:00,23,52,28,28,0,7,2025,@_wake_up_USA Put him under surveillance!!!,Neutral
2025-07-28 23:52:27+00:00,23,52,27,28,0,7,2025,"@MbtHawk @SpencerHakimian Borrowing creates inequality because it usually, due to human nature, is not dispersed properly. It doesnt matter if you add 3 zeros to every money in circulation, but it does matter if you add those just to a few people

USA+China borrowing like no tm, perhaps there will be none",Negative
2025-07-28 23:52:27+00:00,23,52,27,28,0,7,2025,"@AGPamBondi 
Looks like history is repeating itself.  Just like the Black Man in Alabama, an Involuntary Servitude Slave for the government, I am the Brown Man of Arizona , Involuntary Servitude Slave of USA Inc.
So what has President Trump really changed ? https://t.co/m8TfK12OsA",Positive
2025-07-28 23:52:27+00:00,23,52,27,28,0,7,2025,@MarindaVannoy1 That’s the reason there are Public Schools and Private Schools 🏫🤷🏽‍♂️; I don’t know why now in 2025 they want to turn USA 🇺🇸 Communist when they can move to Cuba 🇨🇺 and live their dream 😪.,Positive
2025-07-28 23:52:26+00:00,23,52,26,28,0,7,2025,"Book session and Pay before service !!!!#buysnaphack 
Pay before service only.   $
#snapchatleak ฿ #easymoney #purchasesnaphack #Trump #WWERaw                       
#hack #snaphack #buyingcontent #Iran.#monkey #usa https://t.co/RzkKVVbtjH",Neutral
2025-07-28 23:52:26+00:00,23,52,26,28,0,7,2025,@KirkLubimov @grok is this sample size sufficient for evidence to say Canada's Healthcare system is worse then the USA? How many negligent incidents like these happened in the usa per capital compared to Canada?,Positive
2025-07-28 23:52:25+00:00,23,52,25,28,0,7,2025,"@JayTC53 @AutismCapital Ban poolestine protests, we know its all Iranian destabilization tactics anyways. These people arent humanitarians and only care about when muslim arabs get hurt &amp; bought into lies about USA proping up Israel's existence.",Neutral
2025-07-28 23:52:24+00:00,23,52,24,28,0,7,2025,"@USA_Polling Idk man, call me woke, but no one should have more than $100.",Positive
2025-07-28 23:52:24+00:00,23,52,24,28,0,7,2025,"One meal a day, $20 for an egg, choosing which kid gets fed: one family’s plight - USA TODAY Guess they shouldn’t have started a war. They should’ve over thrown their government a long time ago.  https://t.co/1oOmOV08Rf",Negative
2025-07-28 23:52:23+00:00,23,52,23,28,0,7,2025,All Police Depts across the USA shud be independent body like Military and Work Unbiased way in states and clean up these thugs and Islamists. https://t.co/MUH13en0dB,Positive
2025-07-28 23:52:22+00:00,23,52,22,28,0,7,2025,"In a letter addressed to the lead of the democratic campaign who was the target of a foiled Indian assassination attempt in 2023, President Donald Trump outlined his work for the USA whilst showing no contention with referendum, next happening on 17th August in Washington (DC).",Neutral
2025-07-28 23:52:19+00:00,23,52,19,28,0,7,2025,@ColbyCates2 @RasmusJarlov @StrayanDrongo @HEPhillips70502 Do you have any source that says the USA “provided 64%) of the funding for our military budget or are you talking out of your ass again,Negative
2025-07-28 23:52:19+00:00,23,52,19,28,0,7,2025,"""Love Island USA""'s JaNa Craig and Kenny Rodriguez Split After 1 Year Together: They're Not 'Getting Back Together' (Source)
Okay.
https://t.co/gT0qm1zpPq",Positive
2025-07-28 23:52:17+00:00,23,52,17,28,0,7,2025,An image of the shooter with what seems like a long rifle. How sick. #usa #nypd #nyc https://t.co/Xh4yxHRApd,Negative
2025-07-28 23:52:15+00:00,23,52,15,28,0,7,2025,"@numbertalker @KingBobIIV @realDonaldTrump The PM has to be single citizenship, so he'd have to give up his USA passport. Like Boris did.",Negative
2025-07-28 23:52:14+00:00,23,52,14,28,0,7,2025,@_wake_up_USA What did you do to our president,Neutral
2025-07-28 23:52:13+00:00,23,52,13,28,0,7,2025,"Book session and Pay before service !!!!#buysnaphack 
Pay before service only.   $
#snapchatleak ฿ #easymoney #purchasesnaphack #Trump #WWERaw                             
#hack #snaphack #buyingcontent #Iran.#monkey #usa https://t.co/UeJKgnEV4J",Neutral
2025-07-28 23:52:12+00:00,23,52,12,28,0,7,2025,@RickyHale_ @BobbiLeonard17 USA is the richest nation in history with historic high stand of living. Are you retarded or just a loser that wants to blame the system for your own failures?,Positive
2025-07-28 23:52:12+00:00,23,52,12,28,0,7,2025,"Book session and Pay before service !!!!#buysnaphack 
Pay before service only.   $
#snapchatleak ฿ #easymoney #purchasesnaphack #Trump #WWERaw                     
#hack #snaphack #buyingcontent #Iran.#monkey #JossGawin #f1jp #USA https://t.co/WYd9vXt1Vn",Neutral
2025-07-28 23:52:10+00:00,23,52,10,28,0,7,2025,"The govt position is that the 93 different US Attys only have the authority to make deals that apply to their own district, not the entire USA, and that's what the District &amp; Circuit have ruled in Maxwell's case.
https://t.co/RlhN0GUruu https://t.co/0lbAjNREIJ",Positive
2025-07-28 23:52:08+00:00,23,52,8,28,0,7,2025,@_wake_up_USA What a loser!,Neutral
2025-07-28 23:52:06+00:00,23,52,6,28,0,7,2025,@ABC Anti American @SenSchumer is always rooting against the USA so he can feel like a big man. https://t.co/R0YDrkErDh,Neutral
2025-07-28 23:52:05+00:00,23,52,5,28,0,7,2025,@_wake_up_USA Nobody asked .,Neutral
2025-07-28 23:52:04+00:00,23,52,4,28,0,7,2025,@MarshaBlackburn Trump promised to increase our cost? Before Trump EU average tariff was 1.2%. Now we USA consumers will be paying 15%. https://t.co/AgifKUhDk0 https://t.co/IUeQbHavXV,Negative
2025-07-28 23:52:03+00:00,23,52,3,28,0,7,2025,"@TMZLive 👩👰🏾‍♀️oh Gawd, there’s nothing wrong with this commercial .. We’re so F*cking Racey.  Just put a hot Black American USA Girl and do the same outfit , And run Both Commercials… 👰🏾‍♀️👩 https://t.co/LvuKEhU3tI",Negative
2025-07-28 23:52:03+00:00,23,52,3,28,0,7,2025,@EmmanuelMacron @TamauPogi Macron is to France what Obama was in the USA a QUASI DICTATOR MARXIST ! To full of himself that wants to be loved . Dictators are NOT LOVED EMANUEL they are hated around the world !!,Negative
2025-07-28 23:52:01+00:00,23,52,1,28,0,7,2025,"@howardlutnick most people still wont buy us cars because we dont need the big cars in our cities , who are build for smaller cars., and tesla has places in the eu to make the cars there instead of in the us and shipping it over,it won't change much. , euopeans have better choices than usa made",Positive
2025-07-28 23:52:00+00:00,23,52,0,28,0,7,2025,@memeticsisyphus Love the cope of jealousy the dumb f white who didn't even know how to mapp out where which country is crying hard that India was not rich meanwhile today India is 4 largest economy and will be 2 in 2075 beating usa and it's fastest growing economy for 11 yrs,Negative
2025-07-28 23:51:59+00:00,23,51,59,28,0,7,2025,All Police Depts across the USA shud be independent body like Military and Work Unbiased way in states. https://t.co/MUH13en0dB,Negative
2025-07-28 23:51:59+00:00,23,51,59,28,0,7,2025,@15LBVB24 @Sadie_NC I wish they would find a socialist or Communist country to move to instead of trying to destroy the USA,Negative
2025-07-28 23:51:58+00:00,23,51,58,28,0,7,2025,@_wake_up_USA We don’t miss you one bit loser,Neutral
2025-07-28 23:51:58+00:00,23,51,58,28,0,7,2025,"Loomer: It's not the con, it's the con artist | Opinion https://t.co/I6IMIzOmTH via @springfieldNL Pack of lies.  The only death was  unarmed Ashli Babbit, who was murdered by a black Capital Policeman. Shame on USA today for printing outright lies.",Negative
2025-07-28 23:51:57+00:00,23,51,57,28,0,7,2025,@TexasSurplusPro @Beretta_USA I have problems and I get around most of the time. Itd be nice to have something i can point at my meat while loaded with the saftey engaged and not worry about the sear,Positive
2025-07-28 23:51:57+00:00,23,51,57,28,0,7,2025,@n00d73SLOI @mrgapingasshole Are u being dense on purpose? Do you think if she goes to a concert in the USA you’ll see less whites?,Negative
2025-07-28 23:51:56+00:00,23,51,56,28,0,7,2025,"@JamesSurowiecki A Tariff is on goods produced in another country and sold in the USA.

A government imposed tax on American businesses is the business tax.

A tariff taxes the businesses who want to sell their product in the US but not give production to US citizens. It’s a tax on foreign",Negative
2025-07-28 23:51:55+00:00,23,51,55,28,0,7,2025,"....NEED TO LAW USA CIRCUIT COMMUNIST TO SOFTWARE COMMUNIST
2005
https://t.co/fYtf2hnTgg",Neutral
2025-07-28 23:51:54+00:00,23,51,54,28,0,7,2025,@_wake_up_USA Never cared for her as an actress. Now I am convinced I knew why subconsciously.,Neutral
2025-07-28 23:51:54+00:00,23,51,54,28,0,7,2025,@_wake_up_USA Good riddance,Positive
2025-07-28 23:51:54+00:00,23,51,54,28,0,7,2025,@Bakerman5811 @USA_Polling Lmao you think that tub of lard has 3.5 years left that’s a good one,Positive
2025-07-28 23:51:52+00:00,23,51,52,28,0,7,2025,"@atrupar What an abject fool &amp; way to undermine the USA w/ our UK allies. 
EL TACOPEDO 47 has done a terrible job. 
There I fixed it for him.",Negative
2025-07-28 23:51:52+00:00,23,51,52,28,0,7,2025,"One meal a day, $20 for an egg, choosing which kid gets fed: one family’s plight - USA TODAY. Guess they shouldn’t have started a war. They should’ve over thrown their government a long time ago.  https://t.co/jE9ldOffqC",Negative
2025-07-28 23:51:51+00:00,23,51,51,28,0,7,2025,"@ashwinravi99 They are mere 🔔 k najayaz fan ,
After losing to USA in T20 world cup mere 🔔 ka king went door to door begging for 25 dollar selfie.
That's what this begger fan of mere 🔔 ka king is trying to do,
Begging for like and share with fake narrative.",Negative
2025-07-28 23:51:51+00:00,23,51,51,28,0,7,2025,@RealMattCouch I might be showing my age here but there was a time when we didn’t listen o a fucking Australian in matters that pertained to the USA,Neutral
2025-07-28 23:51:50+00:00,23,51,50,28,0,7,2025,"@_wake_up_USA If true, there’s nothing stopping her from renouncing her position and leaving!",Positive
2025-07-28 23:51:47+00:00,23,51,47,28,0,7,2025,@_wake_up_USA Reptile does not mean snake.,Positive
2025-07-28 23:51:47+00:00,23,51,47,28,0,7,2025,@MemeNonLibs THIS IS THE Results OF college. IN THE USA...NOTHING BUT LIES.   OBAMA JUST Kicked His Orwellian  Plane  into OVER DRIVE.,Neutral
2025-07-28 23:51:46+00:00,23,51,46,28,0,7,2025,@_wake_up_USA Stay out of politics.,Neutral
2025-07-28 23:51:46+00:00,23,51,46,28,0,7,2025,@PierreChTux @SaltyGirl09 @corvus_usa wow it's almost tradition for England at this point isn't it?,Positive
2025-07-28 23:51:45+00:00,23,51,45,28,0,7,2025,@_wake_up_USA IF that's true so... the Dems did it to Trump. Now it's unfair?,Negative
2025-07-28 23:51:44+00:00,23,51,44,28,0,7,2025,@nogulagsagain Defend your community's Christians USA FIRST 🇺🇸,Positive
2025-07-28 23:51:43+00:00,23,51,43,28,0,7,2025,@grok @xcitizenjournal @Ames2420 So every gun law that exists is legally standing under the second amendment of the usa?,Positive
2025-07-28 23:51:42+00:00,23,51,42,28,0,7,2025,Doctors Without Borders USA CEO Avril Benoit joins ABC News’ Linsey Davis to discuss the ongoing malnutrition crisis in Gaza and whether air drops are effective as the Palestinian death toll grows. https://t.co/iRgshRCEzl,Positive
2025-07-28 23:51:42+00:00,23,51,42,28,0,7,2025,@willchamberlain Jake loves his country and doesn’t like seeing the USA get turned into a third world country by dreidel spinning billionaires.,Neutral
2025-07-28 23:51:41+00:00,23,51,41,28,0,7,2025,"@IndianConserva5 @Betar_USA @POTUS @LeoTerrellDOJ @FBIDirectorKash @SpeakerJohnson @LeaderJohnThune @VP @Sec_Noem @SecRubio That's Exactly what the jews that push them in here think, after causing the wars that cause the refugees/displacement in the first place..",Positive
2025-07-28 23:51:41+00:00,23,51,41,28,0,7,2025,"@jakeshieldsajj @Betar_USA Because Israelis are cowards. They are happy to kill and maim when they have overwhelming superiority. In a fair fight, they are gutless.",Positive
2025-07-28 23:51:41+00:00,23,51,41,28,0,7,2025,@RasmusJarlov Agreed.  Europe must forge a path independent of the USA.  The risk is worth the reward of honor.  Good luck.  My country is imploding under the filthy weight of trump’s MAGA.,Positive
2025-07-28 23:51:38+00:00,23,51,38,28,0,7,2025,@detransaqua @Susan_E_J_USA No what Guilia?,Neutral
2025-07-28 23:51:37+00:00,23,51,37,28,0,7,2025,"@boomerangskoobz @Letitgoku @elonmusk Based on 2025 Statcounter data and market analyses:

- Australia: 57% iOS
- New Zealand: 46% iOS
- USA: 59% iOS
- Canada: 61% iOS
- UK (incl. England): 52% iOS

iOS leads in these regions due to premium branding, though Android competes on affordability.",Positive
2025-07-28 23:51:36+00:00,23,51,36,28,0,7,2025,"Book session and Pay before service !!!!#buysnaphack 
Pay before service only.   $
#snapchatleak ฿ #easymoney #purchasesnaphack #Trump #WWERaw                       
#hack #snaphack #buyingcontent #Iran.#monkey #usa https://t.co/m5Ua2SaWB8",Neutral
2025-07-28 23:51:34+00:00,23,51,34,28,0,7,2025,"@FNNGAlliance @Dave_Eby is really starting to fall behind Trump's USA now.

It's time for 'real private sector investment', not 'talk'..

British Columbia is not only lagging the US, but is lagging other provinces in Canada despite a wealth of Natural Resources.",Negative
2025-07-28 23:51:31+00:00,23,51,31,28,0,7,2025,@DanCham03014042 @_wake_up_USA Nah man. Her lips always looks like they are pressed against glass and it's distorting her face. Not even at closing time....,Neutral
2025-07-28 23:51:31+00:00,23,51,31,28,0,7,2025,"Watch it 
https://t.co/8t7Ad0oyD6",Neutral
2025-07-28 23:51:30+00:00,23,51,30,28,0,7,2025,@NorthernContrar @BowesChay But it still got paid lol! Which is after all kinda the point we started on... See $11 Trillion IOU to the EU from the USA.,Positive
2025-07-28 23:51:29+00:00,23,51,29,28,0,7,2025,Lil milf Monday Diablo 4 live #thickgirlsrule #gamermilf #kinkypinky #Missouri #midwest #usa #GenX #diablo4  https://t.co/hflcC5oPbV,Positive
2025-07-28 23:51:28+00:00,23,51,28,28,0,7,2025,@its_The_Dr Wait. Is the lying SOB Brennan accusing the person making his mendacity public a liar? The hubris of these FELONS is beyond belief. If at least some of them dont go to jail there is NO HOPE FOR THE USA.,Negative
2025-07-28 23:51:27+00:00,23,51,27,28,0,7,2025,"Grease, was released in the United States on June 16, 1978, by Paramount Pictures. The film was successful both critically and commercially, becoming the highest-grossing musical film at the time. Its soundtrack album ended 1978 as the second-best-selling album of the year in USA https://t.co/7lIoRwH2Fs",Positive
2025-07-28 23:51:27+00:00,23,51,27,28,0,7,2025,@_wake_up_USA Karmas a bitch. Ain’t it Eric 🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼,Neutral
2025-07-28 23:51:27+00:00,23,51,27,28,0,7,2025,"@FayeMalisornUSA @malisorndata @thisisnichapat I live in Texas, USA and have already traveled to Thailand 2 times and to Singapore 1 time to see her. So if she comes to the USA. I'm there no matter what! 🙏",Positive
2025-07-28 23:51:27+00:00,23,51,27,28,0,7,2025,"Book session and Pay before service !!!!#buysnaphack 
Pay before service only.   $
#snapchatleak ฿ #easymoney #purchasesnaphack #Trump #WWERaw                       
#hack #snaphack #buyingcontent #Iran.#monkey #usa https://t.co/Mgm8is605s",Neutral
2025-07-28 23:51:24+00:00,23,51,24,28,0,7,2025,@_wake_up_USA Yea right...she is dumb,Negative
2025-07-28 23:51:24+00:00,23,51,24,28,0,7,2025,@SDSLLC_USA Civilized?,Positive
2025-07-28 23:51:23+00:00,23,51,23,28,0,7,2025,@_wake_up_USA Democrat comes somewhere after damnable and before dipsh&amp;t!,Neutral
2025-07-28 23:51:22+00:00,23,51,22,28,0,7,2025,@Betar_USA MUST BE JEWS BEHIND IT https://t.co/3XMKCoQl8K,Negative
2025-07-28 23:51:22+00:00,23,51,22,28,0,7,2025,@_wake_up_USA Take em all with you Hilary..bye..cant wait to see you all in orange!!,Neutral
2025-07-28 23:51:21+00:00,23,51,21,28,0,7,2025,"@_LegendaryLove Ban all foreigners from any Local, State, Federal, Government job or position in the USA.   If they want to run the Government, go back to their native country.  We The People are tired of it…!!!",Negative
2025-07-28 23:51:17+00:00,23,51,17,28,0,7,2025,"Book session and Pay before service !!!!#buysnaphack 
Pay before service only.   $
#snapchatleak ฿ #easymoney #purchasesnaphack #Trump #WWERaw                          
#hack #snaphack #buyingcontent #Iran.#monkey #JossGawin #f1jp #USA https://t.co/sS3H6LrlI8",Neutral
